codigo,nombre,codigo_simple,nombre_simple
ITX.MC,Industria de Diseño Textil,ITX,Industria de Diseño Textil
MAP.MC,Mapfre,MAP,Mapfre
RED.MC,Red Eléctrica Corporación,RED,Red Electrica Corporación
MTS.MC,ArcelorMittal,MTS,ArcelorMittal
LOG.MC,Compañía de Distribución Integral Logista Holdings,LOG,Compañía de Distribución Integral Logista Holdings
TEF.MC,Telefónica,TEF,Telefonica
BBVA.MC,Banco Bilbao Vizcaya Argentaria,BBVA,Banco Bilbao Vizcaya Argentaria
ACX.MC,Acerinox,ACX,Acerinox
IBE.MC,Iberdrola,IBE,Iberdrola
FER.MC,Ferrovial,FER,Ferrovial
SAN.MC,Banco Santander,SAN,Santander
AENA.MC,Aena S.M.E.,AENA,Aena
ENG.MC,Enagás,ENG,Enagas
GRF.MC,Grifols,GRF,Grifols
ANE.MC,Corporación Acciona Energías Renovables,ANE,Acciona
UNI.MC,Unicaja Banco,UNI,Unicaja
SAB.MC,Banco de Sabadell,SAB,Sabadell
ANA.MC,Acciona,ANA,Acciona
CLNX.MC,Cellnex Telecom,CLNX,Cellnex Telecom
IAG.MC,International Consolidated Airlines Group,IAG,International Consolidated Airlines Group
MEL.MC,Meliá Hotels International,MEL,Melia
AMS.MC,Amadeus IT Group,AMS,Amadeus IT Group
CABK.MC,CaixaBank,CABK,Caixa
ACS.MC,"ACS, Actividades de Construcción y Servicios",ACS,ACS
ELE.MC,Endesa,ELE,Endesa
BKT.MC,Bankinter,BKT,Bankinter
FDR.MC,Fluidra,FDR,Fluidra
NTGY.MC,Naturgy Energy Group,NTGY,Naturgy
COL.MC,Inmobiliaria Colonial,COL,Colonial
